Auteur;Titel;Journal;Jaar;Volume;Issue;Pages;Abstract;DOI
"Y. Li; K. C. Lee; D. Bressington; Q. Liao; M. He; K. K. Law; A. Y. M. Leung; A. Molassiotis; M. Li";A Theory and Evidence-Based Artificial Intelligence-Driven Motivational Digital Assistant to Decrease Vaccine Hesitancy: Intervention Development and Validation;Vaccines (Basel);2024;12;7;;Vaccine hesitancy is one of the top ten threats to global health. Artificial intelligence-driven chatbots and motivational interviewing skills show promise in addressing vaccine hesitancy. This study aimed to develop and validate an artificial intelligence-driven motivational digital assistant in decreasing COVID-19 vaccine hesitancy among Hong Kong adults. The intervention development and validation were guided by the Medical Research Council's framework with four major steps: logic model development based on theory and qualitative interviews (n = 15), digital assistant development, expert evaluation (n = 5), and a pilot test (n = 12). The Vaccine Hesitancy Matrix model and qualitative findings guided the development of the intervention logic model and content with five web-based modules. An artificial intelligence-driven chatbot tailored to each module was embedded in the website to motivate vaccination intention using motivational interviewing skills. The content validity index from expert evaluation was 0.85. The pilot test showed significant improvements in vaccine-related health literacy (p = 0.021) and vaccine confidence (p = 0.027). This digital assistant is effective in improving COVID-19 vaccine literacy and confidence through valid educational content and motivational conversations. The intervention is ready for testing in a randomized controlled trial and has high potential to be a useful toolkit for addressing ambivalence and facilitating informed decision making regarding vaccination.;10.3390/vaccines12070708
"D. Jiang; M. Hao; F. Ding; J. Fu; M. Li";Mapping the transmission risk of Zika virus using machine learning models;Acta Trop;2018;185;;391–399;Zika virus, which has been linked to severe congenital abnormalities, is exacerbating global public health problems with its rapid transnational expansion fueled by increased global travel and trade. Suitability mapping of the transmission risk of Zika virus is essential for drafting public health plans and disease control strategies, which are especially important in areas where medical resources are relatively scarce. Predicting the risk of Zika virus outbreak has been studied in recent years, but the published literature rarely includes multiple model comparisons or predictive uncertainty analysis. Here, three relatively popular machine learning models including backward propagation neural network (BPNN), gradient boosting machine (GBM) and random forest (RF) were adopted to map the probability of Zika epidemic outbreak at the global level, pairing high-dimensional multidisciplinary covariate layers with comprehensive location data on recorded Zika virus infection in humans. The results show that the predicted high-risk areas for Zika transmission are concentrated in four regions: Southeastern North America, Eastern South America, Central Africa and Eastern Asia. To evaluate the performance of machine learning models, the 50 modeling processes were conducted based on a training dataset. The BPNN model obtained the highest predictive accuracy with a 10-fold cross-validation area under the curve (AUC) of 0.966 [95% confidence interval (CI) 0.965-0.967], followed by the GBM model (10-fold cross-validation AUC?=?0.964[0.963-0.965]) and the RF model (10-fold cross-validation AUC?=?0.963[0.962-0.964]). Based on training samples, compared with the BPNN-based model, we find that significant differences (p?=?0.0258* and p?=?0.0001***, respectively) are observed for prediction accuracies achieved by the GBM and RF models. Importantly, the prediction uncertainty introduced by the selection of absence data was quantified and could provide more accurate fundamental and scientific information for further study on disease transmission prediction and risk assessment.;10.1016/j.actatropica.2018.06.021
"Angwach Abrham Asnake; Beminate Lemma Seifu; Alemayehu Kasu Gebrehana";Prediction of zero-dose children using supervised machine learning algorithm in Tanzania: evidence from the recent 2022 Tanzania Demographic and Health Survey;BMJ Open;2025;15;3;e097395;Objectives This study aimed to employ machine learning algorithms to predict the factors contributing to zero-dose children in Tanzania, using the most recent nationally representative data.Design Cross-sectional study.Setting This study was conducted in Tanzania and used the most recent 2022 Tanzania Demographic and Health Survey, accessed from http://www.dhsprogram.com.Participants A total of 2120 children aged 12–23 months were included in this study.Outcome measure Seven classification algorithms were used in this study: logistic regression, decision tree classifier, random forest classifier (RF), support vector machine, K-nearest neighbour, XGBoost (XGB) and Naive Bayes. The dataset was randomly divided into training and testing sets, with 80% allocated for training and 20% for testing. After training the models, the testing data were used to evaluate their performance. This evaluation measured the models’ ability to generalise to unseen data using performance metrics such as accuracy, precision, recall, F1-score and AUC.Results Approximately 7.45% of children (95%?CI 6.73%, 8.65%) were categorised as zero-dose children. The RF classifier achieved the highest performance metrics among the evaluated algorithms, with accuracy=0.95, precision=0.94, recall=0.96, F1 score=0.95 and AUC=0.99, making it the most effective supervised machine learning method for predicting zero-dose children in Tanzania. Maternal unemployment had the most significant positive impact (+0.060) on predicting zero-dose children. Lack of maternal education was the second most significant positive factor (+0.048), indicating that mothers without formal education are more likely to have zero-dose children. Small family size was the third most influential factor, with a positive effect (+0.040) on predicting zero-dose children in Tanzania.Conclusions The RF classifier emerged as the top-performing model for predicting children in Tanzania who have not received any vaccinations. This comprehensive approach enabled the accurate identification of zero-dose children, highlighting the effectiveness of machine learning in enhancing public health initiatives and optimising vaccination strategies. Using this algorithm can enhance health outcomes and reduce the prevalence of vaccine-preventable diseases in Tanzania.Data are available in a public, open access repository. Third party data were obtained for this study from DHS Programme. Data may be requested from DHS Programme after creating an account and submitting a concept note. More access information can be found on the DHS Program website (https://dhsprogram.com/data/Access-Instructions.cfm).34 The authors confirm that interested researchers would be able to access these data in the same manner as the authors.;10.1136/bmjopen-2024-097395
M. A. Alemayehu;Machine learning algorithms for prediction of measles one vaccination dropout among 12-23 months children in Ethiopia;BMJ Open;2024;14;11;e089764;INTRODUCTION: Despite the availability of a safe and effective measles vaccine in Ethiopia, the country has experienced recurrent and significant measles outbreaks, with a nearly fivefold increase in confirmed cases from 2021 to 2023. The WHO has identified being unvaccinated against measles as a major factor driving this resurgence of cases and deaths. Consequently, this study aimed to apply robust machine learning algorithms to predict the key factors contributing to measles vaccination dropout. METHODS: This study utilised data from the 2016 Ethiopian Demographic and Health Survey to evaluate measles vaccination dropout. Eight supervised machine learning algorithms were implemented: eXtreme Gradient Boosting (XGBoost), Random Forest, Gradient Boosting, Support Vector Machine, Decision Tree, Naïve Bayes, K-Nearest Neighbours and Logistic Regression. Data preprocessing and model development were performed using R language V.4.2.1. The predictive models were evaluated using accuracy, precision, recall, F1-score and area under the curve (AUC). Unlike previous studies, this research utilised Shapley values to interpret individual predictions made by the top-performing machine learning model. RESULTS: The XGBoost algorithm surpassed all classifiers in predicting measles vaccination dropout (Accuracy and AUC values of 73.9% and 0.813, respectively). The Shapley Beeswarm plot displayed how each feature influenced the best model's predictions. The model predicted that the younger mother's age, religion-Jehovah/Adventist, husband with no and mother with primary education, unemployment of the mother, residence in the Oromia and Somali regions, large family size and older paternal age have a strong positive impact on the measles vaccination dropout. CONCLUSION: The measles dropout rate in the country exceeded the recommended threshold of <10%. To tackle this issue, targeted interventions are crucial. Public awareness campaigns, regular health education and partnerships with religious institutions and health extension workers should be implemented, particularly in the identified underprivileged regions. These measures can help reduce measles vaccination dropout rates and enhance overall coverage.;10.1136/bmjopen-2024-089764
"Francesco De Micco; Gianmarco Di Palma; D. Ferorelli; Anna De Benedictis; L. Tomassini; V. Tambone; Mariano Cingolani; R. Scendoni";Artificial intelligence in healthcare: transforming patient safety with intelligent systems—A systematic review;Frontiers in Medicine;2025;11;;;;10.3389/fmed.2024.1522554
"Laila Rasmy; Yang Xiang; Ziqian Xie; Cui Tao; Degui Zhi";Med-BERT: pretrained contextualized embeddings on large-scale structured electronic health records for disease prediction;npj Digital Medicine;2021;4;1;86;Deep learning (DL)-based predictive models from electronic health records (EHRs) deliver impressive performance in many clinical tasks. Large training cohorts, however, are often required by these models to achieve high accuracy, hindering the adoption of DL-based models in scenarios with limited training data. Recently, bidirectional encoder representations from transformers (BERT) and related models have achieved tremendous successes in the natural language processing domain. The pretraining of BERT on a very large training corpus generates contextualized embeddings that can boost the performance of models trained on smaller datasets. Inspired by BERT, we propose Med-BERT, which adapts the BERT framework originally developed for the text domain to the structured EHR domain. Med-BERT is a contextualized embedding model pretrained on a structured EHR dataset of 28,490,650 patients. Fine-tuning experiments showed that Med-BERT substantially improves the prediction accuracy, boosting the area under the receiver operating characteristics curve (AUC) by 1.21–6.14% in two disease prediction tasks from two clinical databases. In particular, pretrained Med-BERT obtains promising performances on tasks with small fine-tuning training sets and can boost the AUC by more than 20% or obtain an AUC as high as a model trained on a training set ten times larger, compared with deep learning models without Med-BERT. We believe that Med-BERT will benefit disease prediction studies with small local training datasets, reduce data collection expenses, and accelerate the pace of artificial intelligence aided healthcare.;10.1038/s41746-021-00455-y
"Madhav Erraguntla; Josef Zapletal; Mark Lawley";Framework for Infectious Disease Analysis: A comprehensive and integrative multi-modeling approach to disease prediction and management;Health Informatics Journal;2019;25;4;1170–1187;The impact of infectious disease on human populations is a function of many factors including environmental conditions, vector dynamics, transmission mechanics, social and cultural behaviors, and public policy. A comprehensive framework for disease management must fully connect the complete disease lifecycle, including emergence from reservoir populations, zoonotic vector transmission, and impact on human societies. The Framework for Infectious Disease Analysis is a software environment and conceptual architecture for data integration, situational awareness, visualization, prediction, and intervention assessment. Framework for Infectious Disease Analysis automatically collects biosurveillance data using natural language processing, integrates structured and unstructured data from multiple sources, applies advanced machine learning, and uses multi-modeling for analyzing disease dynamics and testing interventions in complex, heterogeneous populations. In the illustrative case studies, natural language processing from social media, news feeds, and websites was used for information extraction, biosurveillance, and situation awareness. Classification machine learning algorithms (support vector machines, random forests, and boosting) were used for disease predictions.;10.1177/1460458217747112
"Zhicheng Jiao; Ji Whae Choi; Kasey Halsey; Thi My Linh Tran; Ben Hsieh; Dongcui Wang; Feyisope Eweje; Robin Wang; Ken Chang; Jing Wu; Scott A. Collins; Thomas Y. Yi; Andrew T. Delworth; Tao Liu; Terrance T. Healey; Shaolei Lu; Jianxin Wang; Xue Feng; Michael K. Atalay; Li Yang; Michael Feldman; Paul J. L. Zhang; Wei-Hua Liao; Yong Fan; Harrison X. Bai";Prognostication of patients with COVID-19 using artificial intelligence based on chest x-rays and clinical data: a retrospective study;The Lancet Digital Health;2021;3;5;e286–e294;;10.1016/S2589-7500(21)00039-X
"Muzammil Khan; M. Mehran; Z. Haq; Z. Ullah; Salman Raza Naqvi; Mehreen Ihsan; Haider Abbas";Applications of artificial intelligence in COVID-19 pandemic: A comprehensive review;Expert Systems with Applications;2021;185;;115695–115695;;10.1016/j.eswa.2021.115695
"H. Loh; C. Ooi; S. Seoni; P. Barua; F. Molinari; Usha Acharya";Application of explainable artificial intelligence for healthcare: A systematic review of the last decade (2011-2022);Computer methods and programs in biomedicine;2022;226;;107161;;10.1016/j.cmpb.2022.107161
